j ai ans .	i m .
autant agir en prevision .	i might as well get a head start .
tu m as beaucoup manque hier .	i missed you very much yesterday .
je dois admettre que je me suis trompe .	i must admit that i was mistaken .
je suppose que c est votre pere .	i m assuming this is your father .
je suppose que c est ton pere .	i m assuming this is your father .
je suis etonne par son habilete .	i m astonished by her cleverness .
je suis consciente de mes responsabilites .	i m aware of my responsibilities .
je suis conscient de mes responsabilites .	i m aware of my responsibilities .
je me rejouis que tout soit termine .	i m delighted that it s all over .
j en ai marre de ce temps humide .	i m fed up with this wet weather .
je descends au prochain arret .	i m getting off at the next stop .
je me fais trop vieux pour ce travail .	i m getting too old for this job .
je m habitue a manger seul .	i m getting used to eating alone .
je m habitue a manger seule .	i m getting used to eating alone .
je vais en amerique cet ete .	i m going to america this summer .
je vais couper cet arbre .	i m going to chop this tree down .
je vais avoir besoin de plus de temps .	i m going to need some more time .
je vais avoir besoin de davantage de temps .	i m going to need some more time .
je vais reecrire ce rapport .	i m going to rewrite this report .
je vais envoyer de l argent a tom .	i m going to send tom some money .
je suis juste un employe de bureau normal .	i m just a regular office worker .
je suis juste preoccupe par mon poids .	i m just worried about my weight .
je suis juste preoccupee par mon poids .	i m just worried about my weight .
j attends la fete avec impatience .	i m looking forward to the party .
je suis davantage qu un joli visage .	i m more than just a pretty face .
je ne peux pas reparer l ordinateur .	i m not able to fix the computer .
je ne te cache rien .	i m not hiding anything from you .
je n essaie d impressionner personne .	i m not trying to impress anyone .
je suis satisfait de sa performance .	i m pleased with his performance .
je suis satisfaite de sa performance .	i m pleased with his performance .
je suis satisfait de sa representation .	i m pleased with his performance .
je suis satisfaite de sa representation .	i m pleased with his performance .
je suis satisfait de sa prestation .	i m pleased with his performance .
je suis satisfaite de sa prestation .	i m pleased with his performance .
je suis deja pratiquement adulte .	i m practically an adult already .
je suis responsable de la securite de tom .	i m responsible for tom s safety .
je n en peux plus des hamburgers .	i m sick and tired of hamburgers .
je suis desolee d avoir rate ton anniversaire .	i m sorry i missed your birthday .
je suis desole d avoir rate votre anniversaire .	i m sorry i missed your birthday .
je suis desole de vous deranger si souvent .	i m sorry to bother you so often .
je suis desolee de vous deranger si souvent .	i m sorry to bother you so often .
je suis desole de te deranger si souvent .	i m sorry to bother you so often .
je suis desolee de te deranger si souvent .	i m sorry to bother you so often .
je suis desole de vous ennuyer si souvent .	i m sorry to bother you so often .
je suis desolee de vous ennuyer si souvent .	i m sorry to bother you so often .
je suis desole de t ennuyer si souvent .	i m sorry to bother you so often .
je suis desolee de t ennuyer si souvent .	i m sorry to bother you so often .
je suis desole je ne vous reconnais pas .	i m sorry i don t recognize you .
je suis desole je ne vous remets pas .	i m sorry i don t recognize you .
je suis desole je ne te reconnais pas .	i m sorry i don t recognize you .
je suis desole je ne te remets pas .	i m sorry i don t recognize you .
je suis desolee je ne vous remets pas .	i m sorry i don t recognize you .
je suis desolee je ne te remets pas .	i m sorry i don t recognize you .
je suis desolee je ne te reconnais pas .	i m sorry i don t recognize you .
je suis desolee je ne vous reconnais pas .	i m sorry i don t recognize you .
je suis desolee mais tu dois partir .	i m sorry but you need to leave .
je suis desole mais tu dois partir .	i m sorry but you need to leave .
je suis desolee mais vous devez partir .	i m sorry but you need to leave .
je suis desole mais vous devez partir .	i m sorry but you need to leave .
je suis desole ca ne se reproduira pas .	i m sorry it won t happen again .
je suis desolee ca ne se reproduira pas .	i m sorry it won t happen again .
je souffre encore a cause du decalage horaire .	i m still suffering from jet lag .
je suis convaincu d avoir le bon numero .	i m sure i have the right number .
je suis sur que tout ira bien .	i m sure everything will be fine .
je suis sure que tout ira bien .	i m sure everything will be fine .
je m occupe de mon grand pere .	i m taking care of my grandfather
je prends soin de mon grand pere .	i m taking care of my grandfather
je suis le plus grand de la classe .	i m the tallest one in the class .
je suis trois ans plus jeune que toi .	i m three years younger than you .
je suis fatigue de regarder la television .	i m tired of watching television .
je suis trop fatigue pour faire mes devoirs .	i m too sleepy to do my homework .
j ai trop sommeil pour faire mes devoirs .	i m too sleepy to do my homework .
je suis trop fatigue pour marcher plus longtemps .	i m too tired to walk any longer .
je suis vraiment desole pour l erreur .	i m very sorry about the mistake .
j attends qu elle vienne ici .	i m waiting for her to come here .
je suis d accord d accepter votre offre .	i m willing to accept your offer .
elle est belle comme sa mere .	she is beautiful like her mother .
elle est convaincue de mon innocence .	she is convinced of my innocence .
elle est familiere du sujet .	she is familiar with the subject .
elle adore chanter de vieilles chansons .	she is fond of singing old songs .
elle va mieux de jour en jour .	she is getting better day by day .
elle n est pas infirmiere mais docteur .	she is not a nurse but a doctor .
elle n est pas poete mais romanciere .	she is not a poet but a novelist .
c est elle qui nourrit notre chien .	she is the one who feeds our dog .
elle est deux ans plus jeune que moi .	she is two years younger than me .
elle a deux ans de moins que moi .	she is two years younger than me .
elle ressemble beaucoup a sa mere .	she is very much like her mother .
elle a dit qu elle avait ete heureuse .	she said that she had been happy .
elle disait qu elle avait ete heureuse .	she said that she had been happy .
elle dit qu elle t appellera plus tard .	she says she will call you later .
elle est venue tot pour pratiquer .	she showed up early for practice .
elle est arrivee tot pour l entrainement .	she showed up early for practice .
elle a resolu le probleme facilement .	she solved the problem with ease .
elle a passe le week end seule .	she spent the weekend by herself .
elle depend encore de ses parents .	she still depends on her parents .
elle s arreta pour fumer une cigarette .	she stopped to smoke a cigarette .
elle parvint a ouvrir la caisse .	she succeeded in opening the box .
elle l etouffa avec un oreiller .	she suffocated him with a pillow .
elle l a etouffe avec un oreiller .	she suffocated him with a pillow .
c est une femme d affaire a succes .	she s a successful businesswoman .
c est une violoniste d une certaine renommee .	she s a violinist of some renown .
elle est une violoniste d un certain renom .	she s a violinist of some renown .
c est une jeune fille intelligente .	she s an intelligent young woman .
elle demande comment c est possible .	she s asking how that s possible .
elle est raide dingue de lui .	she s completely crazy about him .
elle a cinq ans de moins que moi .	she s five years younger than me .
sa nouvelle robe lui plait .	she s pleased with her new dress .
elle a promis qu elle allait m appeler .	she s promised to give me a ring .
ce sont tous deux des collegues a moi .	they are both colleagues of mine .
ils attendent que vous les aidiez .	they are looking to you for help .
ils attendent que tu les aides .	they are looking to you for help .
